"","gene","snp","association_id","pvalue","standard_error","beta_number","range","traits","efo_id"
"739","FCRL3","rs12070820","47486864",3e-33,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"740","FCRL3","rs12123141","47486864",3e-33,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"741","FCRL3","rs1885560","55737585",6e-06,NA,NA,"[1.03-1.09]","cervical carcinoma","EFO_0001061"
"742","FCRL3","rs12743309","47486864",3e-33,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"743","FCRL3","rs3761959","62061512",3e-29,NA,NA,NA,"protein measurement","EFO_0004747"
"744","FCRL3","rs2785662","47486864",3e-33,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"745","FCRL3","rs78950792","62315272",3e-10,NA,0.04157,NA,"protein measurement","EFO_0004747"
"746","FCRL3","rs2050568","24673878",2e-10,NA,NA,NA,"multiple sclerosis","EFO_0003885"
"747","FCRL3","rs2317230","64718651",2e-09,NA,NA,"[1.140628053-1.294142861]","Graves disease","EFO_0004237"
"748","FCRL3","rs7528684","31399071",1e-112,0.02,0.53,"[0.49-0.57]","blood protein measurement","EFO_0007937"
"749","FCRL3","rs2317231","55598182",3e-16,NA,NA,NA,"multiple sclerosis","EFO_0003885"
"750","FCRL3","rs200240998","31392210",3e-139,0.02,0.62,"[0.58-0.66]","blood protein measurement","EFO_0007937"
"751","FCRL3","rs6427401","63151404",3e-30,0.024451505,0.28259385,"[0.23-0.33]","blood protein measurement","EFO_0007937"
"752","FCRL3","rs6427389",NA,NA,NA,NA,NA,NA,NA
"753","FCRL3","rs6677006","31397517",6e-38,0.04,0.55,"[0.47-0.63]","blood protein measurement","EFO_0007937"
"754","FCRL3","rs2778010","47486864",3e-33,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"755","EFNA4","rs11807418","56269823",4e-08,0.0023,0.0142,"[0.0097-0.0187]","low density lipoprotein cholesterol measurement","EFO_0004611"
"756","EFNA4","rs11264330","28911",5e-06,NA,0.04,NA,"CCL2 measurement","EFO_0004749"
"757","EFNA4","rs12142017","55715751",2e-15,NA,NA,NA,"BMI-adjusted waist-hip ratio","EFO_0007788"
"758","EFNA4","rs7366355","56246036",1e-08,NA,NA,"[1.04-1.08]","cataract","EFO_0001059"
"759","EFNA4","rs10908458","19564",2e-15,NA,3.7,"[3.10-4.20]","serum gamma-glutamyl transferase measurement","EFO_0004532"
"760","EFNA4","rs61811931","77546282",2e-06,NA,NA,NA,"Bell's palsy","EFO_0007167"
"761","EFNA4","rs141845046","62273621",8e-18,0.006,0.048,"[0.036-0.06]","body mass index","EFO_0004340"
"762","EFNA4","rs11264327","35113217",7e-09,0.00171,0.00987,"[0.0065-0.0132]","albuminuria","EFO_0004285"
"763","EFNA4","rs4845402","61689094",5e-13,NA,NA,NA,"Abnormality of refraction","HP_0000539"
"765","EFNA4","rs2242194","15059587",2e-06,NA,NA,NA,"schizophrenia","EFO_0000692"
"766","EFNA4","rs77548871","63319879",7e-38,0.0047,0.0602,"[0.051-0.069]","appendicular lean mass","EFO_0004980"
"767","EFNA4","rs45444697","31394744",8e-15,0.03,0.23,"[0.17-0.29]","blood protein measurement","EFO_0007937"
"768","EFNA4","rs76735429","35673078",4e-09,0.01661,NA,NA,"DNA methylation","GO_0006306"
"769","EFNA4","rs12129003","62499722",2e-17,NA,NA,NA,"platelet count","EFO_0004309"
"770","EFNA4","rs8191981","62511024",6e-54,0.012084,0.187007,"[0.16-0.21]","eosinophil count","EFO_0004842"
"771","EFNA4","rs71628645","36506072",5e-10,NA,NA,NA,"erythrocyte count","EFO_0004305"
"772","EFNA4","rs11264339","47486834",3e-13,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"773","EFNA4","rs35749011","55249484",2e-70,0.0342,0.6068,"[0.54-0.67]","parkinson's disease","EFO_0002508"
"774","EFNA4","rs4845703","55715867",4e-12,NA,NA,NA,"BMI-adjusted waist-hip ratio","EFO_0007788"
"775","EFNA4","rs57742792","55309423",4e-11,NA,0.01,NA,"optic disc size measurement","EFO_0004832"
"776","EFNA4","rs34455078","49506134",6e-06,0.042001776,0.09246136,"[0.01-0.175]","cognitive function measurement","EFO_0008354"
"777","EFNA4","rs8191979","61937305",4e-23,NA,0.061,NA,"hemoglobin measurement","EFO_0004509"
"778","EFNA4","rs4971079","24297561",3e-10,NA,NA,NA,"ankylosing spondylitis, crohn's disease, psoriasis, sclerosing cholangitis, ulcerative colitis","EFO_0003898, EFO_0000384, EFO_0000676, EFO_0004268, EFO_0000729"
"779","EFNA4","rs11264296","64200257",9e-10,0.0022491175,0.0137743475,"[0.0094-0.0182]","eosinophil count","EFO_0004842"
"780","EFNA4","rs2242195","36058678",1e-08,NA,NA,NA,"body mass index","EFO_0004340"
"781","EFNA4","rs72702268","63319807",4e-17,0.0063,0.0531,"[0.041-0.065]","appendicular lean mass","EFO_0004980"
"782","EFNA4","rs12904","64675961",1e-30,NA,11.5,NA,"serum alanine aminotransferase measurement","EFO_0004735"
"783","EFNA4","rs4460629","25389601",4e-14,0.018,0.136,"[0.10-0.17]","magnesium measurement","EFO_0004845"
"785","EFNA4","rs113405739","64194681",4e-24,0.0066370904,0.06720668,"[0.054-0.08]","hematocrit","EFO_0004348"
"786","EFNA4","rs6676150","47759570",5e-11,0.054,0.356,"[0.25-0.46]","glomerular filtration rate","EFO_0005208"
"787","EFNA4","rs11264323","64398848",2e-11,0.0023098993,0.015460927,"[0.011-0.02]","platelet crit","EFO_0007985"
"788","EFNA4","rs4390169","36095470",4e-15,NA,NA,NA,"hair colour measurement","EFO_0007822"
"789","EFNA4","rs3766918",NA,NA,NA,NA,NA,NA,NA
"790","EFNA4","rs4246529","47885662",2e-08,0.0138,0.0775,"[0.05-0.105]","urate measurement","EFO_0004531"
"791","EFNA4","rs34257409","47785512",2e-15,0.0020197,0.0160895,"[0.012-0.02]","urinary albumin to creatinine ratio","EFO_0007778"
"792","EFNA4","rs140676308","55314420",8e-11,0.0199942,0.130478,"[0.091-0.17]","appendicular lean mass","EFO_0004980"
"793","EFNA4","rs11581730","30561254",3e-17,0.036,0.306,"[0.24-0.38]","digit length ratio","EFO_0004841"
"794","EFNA4","rs569036944","63126487",1e-08,0.034,0.188,"[0.12-0.25]","HbA1c measurement","EFO_0004541"
"795","EFNA4","rs11264302","64668469",3e-08,0.00125682,0.00705795,"[0.0046-0.0095]","gait measurement","EFO_0007680"
"796","EFNA4","rs11589479","36157067",3e-11,0.0025641494,0.01709262,"[0.012-0.022]","risk-taking behaviour","EFO_0008579"
"797","EFNA4","rs11264322","63103581",7e-07,0.002,0.01,"[0.0061-0.0139]","vitamin D measurement","EFO_0004631"
"798","EFNA4","rs147847496","64606631",5e-11,NA,NA,"[1.11-1.22]","prostate carcinoma","EFO_0001663"
"799","EFNA4","rs4440846","45188212",4e-07,0.13,0.64,"[0.39-0.89]","sensory perception of sweet taste","GO_0050916"
"800","EFNA4","rs11264303","64197354",1e-10,0.0022150935,0.014309819,"[0.01-0.0187]","eosinophil percentage of leukocytes","EFO_0007991"
"801","EFNA4","rs4745","63421861",7e-13,0.00555835,0.0396682,"[0.029-0.051]","electrocardiography","EFO_0004327"
"802","EFNA4","rs905938","47690998",2e-36,0.002,0.025,"[0.021-0.029]","BMI-adjusted waist-hip ratio","EFO_0007788"
"803","EFNA4","rs150138294","55715746",2e-17,NA,NA,NA,"BMI-adjusted waist-hip ratio","EFO_0007788"
"804","EFNA4","rs141942982","41133867",1e-20,0.0039,0.0362,"[0.029-0.044]","FEV/FEC ratio","EFO_0004713"
"805","EFNA4","rs7525164","64335711",6e-21,0.0065896413,0.061924275,"[0.049-0.075]","erythrocyte count","EFO_0004305"
"806","EFNA4","rs10908454","63106389",2e-07,0.00203689,0.0106306,"[0.0066-0.0146]","vitamin D measurement","EFO_0004631"
"807","EFNA4","rs1870940","63824425",5e-17,0.00316285,0.0253915,"[0.019-0.032]","testosterone measurement","EFO_0004908"
"808","EFNA4","rs56103503","64606626",2e-14,NA,NA,"[1.04-1.07]","prostate carcinoma","EFO_0001663"
"809","HP","rs12597458","10625417",1e-07,NA,NA,"[1.06‐1.15]","prostate carcinoma","EFO_0001663"
"810","HP","rs12599952","55734659",3e-13,NA,NA,NA,"body mass index","EFO_0004340"
"811","HP","rs3844425",NA,NA,NA,NA,NA,NA,NA
"812","HP","rs8044868","19157116",5e-06,0.0066,0.031,"[0.018-0.044]","longitudinal BMI measurement, cancer","EFO_0005937, EFO_0000311"
"813","HP","rs1424241","61975686",6e-19,NA,0.4348,NA,"blood protein measurement","EFO_0007937"
"814","HP","rs8053891","77342323",1e-07,NA,NA,"[1.03-1.06]","myocardial infarction","EFO_0000612"
"817","HP","rs12925078",NA,NA,NA,NA,NA,NA,NA
"818","HP","rs79940707","56272607",1e-12,0.0026859,0.0190564,"[0.014-0.024]","apolipoprotein a 1 measurement","EFO_0004614"
"819","HP","rs2288002","47738195",5e-06,0.1549,0.7054,"[0.4-1.01]","low density lipoprotein cholesterol measurement","EFO_0004611"
"820","HP","rs12600132","61968274",6e-09,NA,NA,"[1.03-1.05]","type ii diabetes mellitus","EFO_0001360"
"821","HP","rs1050362","27241419",3e-11,0.0053,0.0352,"[0.025-0.046]","coronary artery disease","EFO_0001645"
"822","HP","rs117844066","55280090",3e-18,0.235,1.692,"[1.23-2.15]","low density lipoprotein cholesterol measurement, sleep duration","EFO_0004611, EFO_0005271"
"823","HP","rs2000999","20734",8e-59,0.007,0.138,"[0.12-0.15]","haptoglobin measurement","EFO_0004640"
"824","HP","rs77303550","63148004",8e-184,0.028398426,0.87787396,"[0.82-0.93]","blood protein measurement","EFO_0007937"
"825","HP","rs4788460","64676281",3e-16,NA,8.16,NA,"serum alanine aminotransferase measurement","EFO_0004735"
"826","HP","rs142710267","61934846",7e-12,0.00236627,0.0162445,"[0.012-0.021]","lifestyle measurement","EFO_0010724"
"827","HP","rs12924886","56008468",1e-08,0.0493,0.2798,"[0.18-0.38]","parental longevity","EFO_0007796"
"828","HP","rs5467","41394929",2e-15,NA,NA,NA,"chronotype measurement","EFO_0008328"
"830","HP","rs146254843","45610410",2e-08,0.019350806,0.1079488,"[0.07-0.146]","HMG CoA reductase inhibitor use measurement","EFO_0009932"
"831","HP","rs7184117",NA,NA,NA,NA,NA,NA,NA
"832","HP","rs1035560","15819573",3e-12,NA,0.0064,NA,"fibrinogen measurement","EFO_0004623"
"833","HP","rs34309753","31393456",8e-100,0.03,0.58,"[0.52-0.64]","blood protein measurement","EFO_0007937"
"834","HP","rs2008675","36097147",2e-09,NA,NA,NA,"hair colour measurement","EFO_0007822"
"835","HP","rs11864453","19691276",5e-08,NA,0.0057,NA,"fibrinogen measurement","EFO_0004623"
"836","HP","rs4788588","24779634",7e-07,0.0103,0.0509,"[0.031-0.071]","tonsillectomy risk measurement","EFO_0007924"
"837","HP","rs4788593","34707679",6e-12,0.0013,0.009,"[0.0065-0.0115]","self reported educational attainment","EFO_0004784"
"838","HP","rs34042070","62709720",1e-177,0.00246375,0.0700152,"[0.065-0.075]","low density lipoprotein cholesterol measurement","EFO_0004611"
"839","HP","rs56387295","62286212",7e-10,0.0030114264,0.01855728,"[0.013-0.024]","alcohol consumption measurement, alcohol use disorder measurement","EFO_0007878, EFO_0009458"
"840","HP","rs8051431","21413958",4e-15,0.009,0.075,"[0.057-0.093]","low density lipoprotein cholesterol measurement","EFO_0004611"
"841","HP","rs181729714","24304322",3e-06,0.60081667,2.79748,"[1.62-3.98]","mosquito bite reaction size measurement","EFO_0008378"
"842","HP","rs9922596","36160173",2e-10,0.0028518299,0.018131934,"[0.013-0.024]","risky sexual behaviour measurement","EFO_0007877"
"843","HP","rs9302635","31399878",6e-161,0.03,0.78,"[0.72-0.84]","blood protein measurement","EFO_0007937"
"844","HP","rs7192750","21413495",1e-14,0.011,0.084,"[0.062-0.106]","low density lipoprotein cholesterol measurement","EFO_0004611"
"845","HP","rs2287997","45610193",3e-19,0.007201719,0.06465331,"[0.051-0.079]","HMG CoA reductase inhibitor use measurement","EFO_0009932"
"846","HP","rs12600121","27409233",5e-10,0.0029510919,0.018357232,"[0.013-0.024]","intelligence","EFO_0004337"
"848","HP","rs8062895","47711949",3e-06,0.014,0.068,"[0.041-0.095]","low density lipoprotein cholesterol measurement","EFO_0004611"
"849","HP","rs11864188","47757637",5e-10,0.0026490565,0.016456155,"[0.011-0.022]","visceral adipose tissue measurement","EFO_0004765"
"850","HP","rs763665","31399183",7e-82,0.03,0.62,"[0.56-0.68]","blood protein measurement","EFO_0007937"
"851","HP","rs4788584","63922329",7e-09,0.007088698,0.04111733,"[0.027-0.055]","self reported educational attainment, cognitive function measurement","EFO_0004784, EFO_0008354"
"852","HP","rs17666927","61936055",2e-08,NA,0.041,NA,"hemoglobin measurement","EFO_0004509"
"853","HP","rs217181","24169181",1e-75,0.04766529,0.9578,"[0.86-1.05]","haptoglobin measurement","EFO_0004640"
